name,lat,lon,phone,address
CAI Valle del Lili,3.36681,-76.52676,3105334949,"Cl. 25 #18-80 a 18-226, Comuna 17, Cali, Valle del Cauca"
CAI Puertas del Sol,3.43159,-76.47429,3105260610,"Cra. 26c #84-2 a 84-42, Cali, Valle del Cauca"
CAI MANUELA BELTRAN,3.42085,-76.47161,3105257104,"Cra. 26j #11253 #112- a, Manuela Beltran, Cali, Valle del Cauca"
CAI Bonilla Aragon,3.41462,-76.47953,3105335172,"Cl. 103 #28-2 a 28-64, Alfonso Bonilla, Cali, Valle del Cauca"
ESTACION DE POLICIA  MUNICIPAL,3.44662,-76.50609,3105183700,"Cl. 40 #12c-51 a 12c-1, Comuna 8, Cali, Valle del Cauca"
ESTACION DE POLICIA  SAN FRANCISCO,3.46451,-76.51566,3105337785,"Cra. 1 Nte. #33N-00, COMUNA 4, Cali, Valle del Cauca"
Estación de Policía Candelaria,3.4078,-76.3496,,"Carrera 6 # 7-118, Candelaria, Valle"
Subestación Subestación Cabuyal,3.4479,-76.3785,,"Corregimiento El Cabuyal, Candelaria, Valle"
Subestación de Policía Villa Gorgona,3.4144,-76.3911,,"Carrera 13 # 12-14, Villa Gorgona, Candelaria"
Subestación de Policía El Carmelo,3.3912,-76.4215,,"Carrera 10A # 15-36, El Carmelo, Candelaria"
Subestación de Policía San Joaquín,3.3653,-76.3861,,"Corregimiento San Joaquín, Candelaria, Valle"
Subestación de Policía Juanchito,3.4497,-76.4746,,"Carrera 8 # 93-58, Sector Juanchito, Cali/Candelaria"
CAI Pizamos,3.40331,-76.47266,3105121055,"Cra 28D 9 1, Pizamos, II, Cali, Valle del Cauca"
CAI Potrero Grande,3.4066,-76.47081,3105228869,"Cl 123 Kr 28D y 28D1, Cali, Valle del Cauca"
CAI Pondaje,3.4285,-76.4978,3105304916,"Dg. 28d 3 #72f1, El Pondaje, Cali, Valle del Cauca"
CAI Charco Azul,3.44064,-76.48509,3105279235,"Dg. 70c #2210, Cali, Valle del Cauca"
CAI Bellavista,3.4471,-76.54624,3105298507,"Carrera 4, Cl. 7 Oe., Cali, Valle del Cauca"
CAI Panamericano,3.43141,-76.54269,3105289879,"Cl. 5 #carrera 36, San Fernando, Cali, Valle del Cauca"
CAI Los Cerros,3.40991,-76.55566,3105325584,"Carrera 56 con Calle 2 Oeste, Los Cerros / Siloé, Cali"
CAI Cristo Rey,3.42827,-76.57585,3105331599,"Monumento a Cristo Rey, Cerro de los Cristales, Cali"
CAI JARDIN BOTANICO,3.44868,-76.56662,3105295346,"Av. 3 Oe. #22B-89, COMUNA 1, Cali, Valle del Cauca"
SUBESTACION DE POLICIA PICHINDE,3.43364,-76.61669,3508191673,"Corregimiento de Pichindé, zona rural de Cali"
Estación de Policía Jamundí,3.2618,-76.5356,,"Carrera 10 # 10-60, Centro, Jamundí"
Subestación de Policía Robles,3.2085,-76.4529,,"Corregimiento de Robles, zona rural de Jamundí"
Subestación de Policía Potrerito,3.2427,-76.5912,,"Corregimiento de Potrerito, zona rural de Jamundí"
CAI Ciudad Jardín,3.36551,-76.53111,(602) 5552915,"Carrera 102 con Calle 16, Ciudad Jardín, Cali"
Subestación de Policía Hormiguero,3.3242,-76.4915,,"Corregimiento El Hormiguero, zona rural sur de Cali"
Subestación de Policía Vorágine,3.34678,-76.58951,(602) 5500313,"Corregimiento de Pance (Sector La Vorágine), Cali"
CAI SALOMIA,3.46355,-76.50053,3105281384,"Carrera 5, Calle 52, Nueva Salomia, Cra. 5 #52, Cali, Valle del Cauca"
CAI Metropolitano,3.48517,-76.4943,3105286734,"Cl. 69 #1-203, Villa del Sol, Cali, Valle del Cauca"
CAI Ciudad 2000,3.39606,-76.52397,3105118886,"Calle 42 (Av. Ciudad de Cali) con Carrera 84, Ciudad 2000, Cali"
CAI NAPOLES,3.38906,-76.55124,3105287793,"Calle 2A con Carrera 77, Las Farallones / Nápoles, Cali"
Subestación de Policía La Buitrera,3.36415,-76.56261,3508191672,"Corregimiento La Buitrera (Sector Centro), Cali"
ESTACION DE POLICIA NUEVA FLORESTA,3.43842,-76.50069,3105136985,"Cl. 44 #241, Cali, Valle del Cauca"
CAI Forestal (Km 9 Vía al Mar),3.4695,-76.6021,,"Kilómetro 9 Vía al Mar, corregimiento El Saladito, Cali"
Subestación de Policía Montebello,3.4851,-76.5582,,"Corregimiento de Montebello, zona rural norte de Cali"
Subestación de Policía El Saladito,3.4498,-76.6152,,"Corregimiento El Saladito, Vía al Mar, Cali"
Subestación de Policía Felidia,3.4324,-76.6645,,"Corregimiento de Felidia, zona rural de Cali"
Subestación de Policía La Elvira,3.5185,-76.5912,,"Corregimiento de La Elvira, zona rural norte de Cali"
Estación de policía Meléndez,3.3759,-76.54752,3105304979,"Cl. 4 #93-00, Bajo Jordan, Cali, Valle del Cauca"
Estación de policía El Caney,3.38746,-76.51674,3105300658,"Cra. 81 #47-33 esq, Comuna 17, Cali, Valle del Cauca"
CAI Limonar,3.40251,-76.5347,3105300623,"Cl. 13b #64-00, Comuna 17, Cali, Valle del Cauca"
CAI Llano Verde,3.39246,-76.50694,301 4645015,"Cl 56G con Kr 47D, Cali, Valle del Cauca"
CAI Puerto Rellena,3.40963,-76.51881,3101515709,"Cra. 46 #26b-156 a 26b-200, Villa Delsur, Cali, Valle del Cauca"
