name,lat,lon,phone,address
Estación de Policía Jamundí,3.2618,-76.5356,#N/A,"Carrera 10 # 10-60, Centro, Jamundí"
Subestación de Policía Robles,3.2085,-76.4529,#N/A,"Corregimiento de Robles, zona rural de Jamundí"
Subestación de Policía Potrerito,3.2427,-76.5912,#N/A,"Corregimiento de Potrerito, zona rural de Jamundí"
CAI Ciudad Jardín,3.3718,-76.5385,#N/A,"Carrera 102 con Calle 16, Ciudad Jardín, Cali"
Subestación de Policía Hormiguero,3.3242,-76.4915,#N/A,"Corregimiento El Hormiguero, zona rural sur de Cali"
Subestación de Policía Vorágine,3.3361,-76.5986,#N/A,"Corregimiento de Pance (Sector La Vorágine), Cali"
CAI SALOMIA,3.4699,-76.5028,3105281384,"Carrera 5 con Calle 52, Nueva Salomia, Cali"
CAI Metropolitano,3.4735,-76.4975,3105286734,"Calle 56 con Carrera 1, Comuna 5 (Metropolitano del Norte), Cali"
CAI Ciudad 2000,3.3934,-76.5181,3105118886,"Calle 42 (Av. Ciudad de Cali) con Carrera 84, Ciudad 2000, Cali"
CAI NAPOLES,3.3951,-76.5512,3105287793,"Calle 2A con Carrera 77, Las Farallones / Nápoles, Cali"
Subestación de Policía La Buitrera,3.3789,-76.5824,#N/A,"Corregimiento La Buitrera (Sector Centro), Cali"
ESTACION DE POLICIA NUEVA FLORESTA,3.4398,-76.4983,3105136985,"Calle 44 # 24B-01, Nueva Floresta, Cali"
CAI Forestal (Km 9 Vía al Mar),3.4695,-76.6021,#N/A,"Kilómetro 9 Vía al Mar, corregimiento El Saladito, Cali"
Subestación de Policía Montebello,3.4851,-76.5582,#N/A,"Corregimiento de Montebello, zona rural norte de Cali"
Subestación de Policía El Saladito,3.4498,-76.6152,#N/A,"Corregimiento El Saladito, Vía al Mar, Cali"
Subestación de Policía Felidia,3.4324,-76.6645,#N/A,"Corregimiento de Felidia, zona rural de Cali"
Subestación de Policía La Elvira,3.5185,-76.5912,#N/A,"Corregimiento de La Elvira, zona rural norte de Cali"
